brand,model,type,capacity,formFactor,interface,cache
Kingston,Fury Renegade,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,
TEAMGROUP,MS30,SSD,1000,M.2-2280,M.2 SATA,
Seagate,BarraCuda,7200 RPM,1000,3.5",SATA 6.0 Gb/s,64
OWC,Mercury Enterprise Pro 6G,SSD,16000,2.5",SATA 6.0 Gb/s,
Western Digital,Blue SN570,SSD,1000,M.2-2280,M.2 PCIe 3.0 X4,
Western Digital,WD_Black SN850X w/Heatsink,SSD,8000,M.2-2280,M.2 PCIe 4.0 X4,2048
TEAMGROUP,T-Force Vulcan Z,SSD,512,2.5",SATA 6.0 Gb/s,
Western Digital,WD_Black SN850X w/Heatsink,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,2048
Crucial,P310,SSD,4000,M.2-2280,M.2 PCIe 4.0 X4,
Crucial,P5 Plus,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,1024
Western Digital,Green SN350,SSD,2000,M.2-2280,M.2 PCIe 3.0 X4,
